Format (See below)
PicIndex,31,32,35,36,37,38,19,20,41,42,61,62,59,60,53,54,5,4,3,PupilDiameter,Illuminance
1,3.296420E+002,3.379705E+002,2.075320E+002,2.085912E+002,-3.286319E+002,3.358205E+002,1.003301E+003,1.024000E+003,5.032228E+002,5.033016E+002,5.331770E+002,5.351248E+002,3.197363E+003,3.186657E+003,5.165449E+002,-5.074551E+002,1.508542E+003,6.223065E+002,8.862356E+002,1,3.296420E+002,3.379705E+002,2.075320E+002,2.085912E+002,-3.286319E+002,3.358205E+002,1.003301E+003,1.024000E+003,5.032228E+002,5.033016E+002,5.331770E+002,5.351248E+002,3.197363E+003,3.186657E+003,5.165449E+002,-5.074551E+002,1.508542E+003,6.223065E+002,8.862356E+002,;(off,off);,109.8463

1,3.498016E+002,3.563305E+002,2.089537E+002,2.106644E+002,-3.387337E+002,3.438262E+002,9.752209E+002,1.024000E+003,5.035408E+002,5.049468E+002,5.325353E+002,5.367898E+002,3.202838E+003,3.191088E+003,5.190947E+002,-5.049053E+002,1.527383E+003,6.244864E+002,9.028966E+002,1,3.498016E+002,3.563305E+002,2.089537E+002,2.106644E+002,-3.387337E+002,3.438262E+002,9.752209E+002,1.024000E+003,5.035408E+002,5.049468E+002,5.325353E+002,5.367898E+002,3.202838E+003,3.191088E+003,5.190947E+002,-5.049053E+002,1.527383E+003,6.244864E+002,9.028966E+002,;(off,off);,109.87635

1,3.421416E+002,3.508046E+002,2.083086E+002,2.104112E+002,-3.345657E+002,3.418141E+002,9.771478E+002,1.024000E+003,5.038467E+002,5.063588E+002,5.327137E+002,5.378318E+002,3.198392E+003,3.206449E+003,5.125317E+002,-5.114683E+002,1.517287E+003,6.234311E+002,8.938558E+002,1,3.421416E+002,3.508046E+002,2.083086E+002,2.104112E+002,-3.345657E+002,3.418141E+002,9.771478E+002,1.024000E+003,5.038467E+002,5.063588E+002,5.327137E+002,5.378318E+002,3.198392E+003,3.206449E+003,5.125317E+002,-5.114683E+002,1.517287E+003,6.234311E+002,8.938558E+002,;(off,off);,109.9615

1,3.560786E+002,3.626422E+002,2.097245E+002,2.136310E+002,-3.418248E+002,3.484122E+002,9.394580E+002,1.024000E+003,5.031093E+002,5.082043E+002,5.323986E+002,5.428789E+002,3.199476E+003,3.188589E+003,5.220218E+002,-5.019782E+002,1.516398E+003,6.232642E+002,8.931333E+002,1,3.560786E+002,3.626422E+002,2.097245E+002,2.136310E+002,-3.418248E+002,3.484122E+002,9.394580E+002,1.024000E+003,5.031093E+002,5.082043E+002,5.323986E+002,5.428789E+002,3.199476E+003,3.188589E+003,5.220218E+002,-5.019782E+002,1.516398E+003,6.232642E+002,8.931333E+002,;(off,off);,109.6511

1,3.191774E+002,3.367000E+002,2.051701E+002,2.080080E+002,-3.201305E+002,3.349256E+002,9.734213E+002,1.024000E+003,5.021839E+002,5.048417E+002,5.288023E+002,5.341133E+002,3.187054E+003,3.183370E+003,5.222429E+002,-5.017571E+002,1.497576E+003,6.241180E+002,8.734582E+002,1,3.191774E+002,3.367000E+002,2.051701E+002,2.080080E+002,-3.201305E+002,3.349256E+002,9.734213E+002,1.024000E+003,5.021839E+002,5.048417E+002,5.288023E+002,5.341133E+002,3.187054E+003,3.183370E+003,5.222429E+002,-5.017571E+002,1.497576E+003,6.241180E+002,8.734582E+002,;(off,off);,109.4383

